rachel_good,rachel_bad,ross_good,ross_bad
thank you. oww!!!! god!,"i'm off my break now so uh, um here you take this and um, i am gonna go pour these very nice people some coffee. ok. oh look at that, i don't have a pot. i don't have a pot. well, hey, maybe i've got one at home, or in scarsdale. hey is that a door?",very bad.,"monica, monica, your guest are turning into jerky, ok."
"i’m sorry, i just can’t go to the hospital lookin’ like this.",aghh.,"i’m agreeing with you. did you, listen, did you happen to tell phoebe yet?","alright, alright, here's the chance. monica give him cash, rachel give him your earrings. something, now, anything."
"okay, you’d tell me the truth. right?","yeah well, ross just made plans for the whole century.","okay, jasmine, please, please don’t. i love my girlfriend very much, and i want more than anything to just work it out with her. okay?","alright, alright, you know how you say i never seize the day? well, alright, even though he's your super, i'm seizing. mr. treeger, here is 50 bucks, merry christmas."
okay.,"i don't know, you tell me. one minute i'm holding ben like a football, the next thing i know, i've got two kids, i'm living in scarsdale complaining about the taxes.","thank you, thank you.","no no, no, that, that's your christmas tip, alright. oh, hey, do you think there's a chance you could fix that radiator now?"
what thing? what thing?,"ross, you have planned out the next 20 years of our lives, we've been dating for six weeks.",who’s your roommate?,yeah.
what thing? what is this thing?,"yes, but i, i think about who's apartment we're gonna sleep at tomorrow night and, and where we're gonna have dinner next saturday night. i do not think about what our childrens' names are gonna be. you know what our childrens names are gonna be.","gunther! gunther. gunther, please tell me you didn’t say anything to rachel about me and the girl from the xerox place.",you mean hardball?
oh my god!,what was the book?,"come on, rachel, come on! talk to me! please!!","excuse me, i'm seizing. mr. treeger, here's another 50, happy hanukkah. will uh, will this help with the knob getting?"
"ross, why didn’t you tell me that?","ok, ross, ross, ok listen, what we have is amazing.",rachel?,"hey, phoebs, how'd it go."
i cannot believe you.,"but i do not want to have everything decided for me. i spent my whole life like that. it's what i had with barry, that was one of the reasons i left. i, i like not knowing right now and i'm sorry if that scares you but if you want to be with me you are gonna have to deal with that.","no, it was a mistake! i made a mistake! okay?",are you ok?
"that is the sweetest thing, i just....",thank you.,no!!,you got me a cola drink?
okay.,i didn't know that.,no!! no!! i wanna stay. i wanna talk about this.,"well this, this is too much, i feel like i should get you another sweater."
"oh, i’m sorry i spoiled you’re evening.","fine, i will.",what?,i don't want to.
"um-hmm, yeah.",oh yeah.,she was...,yeah.
see ya.,well i love you too.,"she, she was different.","oh c'mon. maybe you're just, uhhh... paying your dues."
i mean is that woman capable of talking about anything else but sex?,yes it is.,nobody likes change.,hiiiiii.
that is so cool.,well you better.,"what? okay, okay, okay, okay.","yeah, yeah, just a tough day at work. a stegosaurus fell over and trapped a kid. whoa, whoa, i know this jacket, this is, th--fun bobby's jacket! where is he, what. he, he's here, isn't he?"
"ohh, big, fat bummerrr.","ok ross, just so you know, calling it a poopie diaper doesn't make this process any cuter.","i’m sorry, okay, i’m sorry. i wa-i was disgusted with myself, and this morning i was so, i was so upset and then i got your message and i was so happy, and all i wanted was to get her out of my apartment as fast as possible.",don't toy with me. enters from monica's bedroom.]
hey!,"ok, we can do this now, can't we ben? yes we can, yes we can. there. i did it. i did it. look at that, oh, stays on and everything. hi.","listen. oh hey, hey, the important thing was that she meant, she meant nothing to me!","hey, fun bobby!"
ross gave it to me.,"i'm sorry, what did you just say? did you just say hi? oh my god, ross, ross, ben just said 'hi'.","look, i didn’t think there was a relationship to jeopardise. i thought we were broken up.","not at all! i love this guy. hey, i was so psyched to hear you're back with my sister!"
"ohh, thank you.",ben just said hi.,"that, for all i knew would, could last forever. that to me is a break-up.",oooooh.
"well excuse me, my fashion-impaired friends, i am here to tell you that hats are back.","ye-, no, my uncle hi.","look, i’m not trying to get out of anything, okay. i thought our relationship was dead!","yeah but, you know, now that i think about it, i don't think i've ever seen fun bobby without a... a drink in his hand."
"oh yeah, now everybody wants to be under this hat!","oh, i'm sorry, i guess i just bring it out in him.","come on! like i wanted him to tell you, i ran all over the place trying to make sure that didn’t happen!",what? what's wrong?
allll done!,guess what. ben just said his first word.,"look rachel, i wanted to tell you, i thought i should, i-i did, and then chandler and joey convinced me not to.",alright.
"okay, who’s next?!","you know, actually it's more like, hi.",don’t you realise none of this would’ve ever happened if i didn’t think at that same moment you weren’t having sex with mark?,hi.
"come on, please?! i’m boredddd! you let me do it once before.",hi.,yes i would.,"yes, yes i am. are you a, uh, a friend of rachel's?"
yes!,hi.,yes.,a date.
just once!,hi.,"la-la-la-la-la-la-la-la-la-la! okay, okay, yeah, i would have been devastated but, i would still want to be with you. because it’s, i mean it’s you.","oh, oh, you're... uh... you're, oh you're the date."
"take it like a man, ross!",take care.,"what? come on rach, tell me what you’re thinking?","yes, yes i am. and you are a...."
"oh, come on!","did, did he just, did he, did he just say, he said bye. he said bye. you said, you said bye to me. you said bye to me.","order a pizza like, ‘i forgive you?’","well, i am going to, uh... get a beverage. it was nice, nice... uh... meeting you."
really?!,"ok honey, you really need a job.","hey, can i, can i get in on that? because i’m kinda hungry myself.","i, uh, well... i... i met russ."
"oh, yeah.","ok, so uh, who wants the last hamburger?",no anchovies.,"hey, i didn't know we were, uh, seeing other people."
"okay, your band is playing at arnold’s, collect three cool points. which means, i have five, and that means i get joey’s boxers!","hey, how'd the interview go?","that’s okay, i’ll just pick ‘em off.","well, uh, for your information, there's a woman at the museum, who's curator of moths and other... uh... winged things... who's, uh, let it be known that she is drawn to me much like a... well, you know. but so far i've been keeping her at bay, but, uh, if this is the deal..."
"all right, i’m gonna make more margaritas!",so don't do it.,"you can have the last piece, if you want.","ok, well, um, have a nice evening."
i’m just making margaritas.,what's the matter with you?,"what, now you’re not even taking to me? look rachel, i-i’m sorry, okay, i’m sorry, i was out of my mind. i thought i’d lost you, i didn’t know what to do. come on! come on, how insane must i have been to do something like this? huh? i-i don’t cheat right, i, that’s not me, i’m not joey!",she's dating. she's dating.
what?!,noo.,"y'know what, y'know what, i’m-i’m not the one that wanted that, that break, okay. you’re the one that bailed on us. you’re the one that, that ran when things got just a little rough!",what do you mean?
"oh, come on!",oohhh.,that’s what?!,"see what? i don't know what she sees in... innn that goober. and it takes him, what? like... like... i don't know, uhh... uhhh, hello.... a... week, to get out a sentence."
"monica, please?",hi.,"okay, well here we are. now we’re in a tough spot again, rach. what do you want to do? how do you want to handle it? huh? do you wanna fight for us? or, do you wanna bail? look, i, i did a terrible, stupid, stupid thing. okay? and i’m sorry, i wish i could take it back, but i can’t. i just can’t see us throwing away something we know is so damn good. rachel, i love you so much.",....................yeah.
"he is, isn’t he? i don’t know, i don’t know, i mean maybe it’s just being here at the beach together or, i don’t know. but it’s like something...",what?,"okay, okay, okay.",dysprosium? try mendelevium.
